Platform ID No.,Platform,Prg No.,Pass dur. (s),Msg Date,Sat.,Alarm,Format name,Loc. date,Longitude,Latitude,Altitude,Heading,Speed,Loc. quality,Frequency,Comp.,FICT ELEM,SENSOR 01,SENSOR 02,SENSOR 03,SENSOR 04,SENSOR 05,SENSOR 06,SENSOR 07,SENSOR 08
266392,,6229,199,2024-12-19 16:19:10,CS,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 16:20:37,168.43905,-46.61053,0.000,,,1,401622275.70,1,,142,177,00,16,254,242,226,01
266392,,6229,199,2024-12-19 16:22:29,CS,N,ZE,2024-12-19 16:20:37,168.43905,-46.61053,0.000,,,1,401622275.70,0,00,,,,,,,,
266386,,6229,100,2024-12-19 16:19:03,CS,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 16:19:03,168.4429,-46.59053,0.009,,,A,401669084.10,1,,143,176,00,24,255,240,225,01
266386,,6229,100,2024-12-19 16:19:53,CS,N,ZE,2024-12-19 16:19:03,168.4429,-46.59053,0.009,,,A,401669084.10,0,00,,,,,,,,
266384,,6229,200,2024-12-19 16:16:47,CS,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 16:16:46,172.532,-43.72643,0.013,,,A,401664077.74,1,,112,176,00,21,253,05,246,01
266384,,6229,200,2024-12-19 16:18:27,CS,N,ZE,2024-12-19 16:16:46,172.532,-43.72643,0.013,,,A,401664077.74,0,00,,,,,,,,
266384,,6229,150,2024-12-19 14:32:00,O3,N,ZE,2024-12-19 14:30:53,172.46547,-43.70598,0.012,,,A,401664076.54,0,00,,,,,,,,
266382,,6229,0,2024-12-19 14:29:46,O3,N,ZE,2024-12-19 14:29:45,170.14361,-43.73556,0.676,,,B,401661862.04,0,00,,,,,,,,
266386,,6229,349,2024-12-19 14:31:48,O3,N,ZE,2024-12-19 14:29:39,168.41933,-46.60213,0.008,,,3,401669086.95,0,00,,,,,,,,
266386,,6229,349,2024-12-19 14:32:37,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 14:29:39,168.41933,-46.60213,0.008,,,3,401669086.95,1,,139,179,00,12,02,242,224,01
266392,,6229,100,2024-12-19 14:30:12,O3,N,ZE,2024-12-19 14:29:22,168.40209,-46.59786,0.003,,,A,401622267.56,0,00,,,,,,,,
266382,,6229,299,2024-12-19 12:52:27,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:53:16,170.14609,-43.73804,0.674,,,3,401661860.04,1,,151,180,00,31,01,237,227,01
266382,,6229,299,2024-12-19 12:55:46,O3,N,ZE,2024-12-19 12:53:16,170.14609,-43.73804,0.674,,,3,401661860.04,0,00,,,,,,,,
266386,,6229,350,2024-12-19 12:52:55,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:52:30,168.4207,-46.60366,0.008,,,2,401669087.95,1,,140,183,00,05,05,248,226,01
266386,,6229,350,2024-12-19 12:55:25,O3,N,ZE,2024-12-19 12:52:30,168.4207,-46.60366,0.008,,,2,401669087.95,0,00,,,,,,,,
266384,,6229,348,2024-12-19 12:50:43,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:51:58,172.46283,-43.72175,0.010,,,2,401664091.04,1,,120,184,00,13,255,241,227,01
266384,,6229,348,2024-12-19 12:54:52,O3,N,ZE,2024-12-19 12:51:58,172.46283,-43.72175,0.010,,,2,401664091.04,0,00,,,,,,,,
266392,,6229,199,2024-12-19 12:52:06,O3,N,ZE,2024-12-19 12:51:16,168.42281,-46.60649,0.000,,,3,401622277.08,0,00,,,,,,,,
266392,,6229,199,2024-12-19 12:52:56,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:51:16,168.42281,-46.60649,0.000,,,3,401622277.08,1,,144,184,00,12,00,240,225,01
266386,,6229,100,2024-12-19 12:23:01,NP,N,ZE,2024-12-19 12:22:10,168.40715,-46.60579,0.000,,,A,401669085.70,0,00,,,,,,,,
266383,,6229,0,2024-12-19 11:14:13,O3,N,ZE,2024-12-19 11:14:12,172.6212,-43.77076,0.000,,,B,401663179.16,0,00,,,,,,,,
266384,,6229,149,2024-12-19 11:14:32,MC,N,ZE,2024-12-19 11:13:09,172.48046,-43.72067,0.012,,,A,401664080.03,0,00,,,,,,,,
266392,,6229,448,2024-12-19 11:06:37,MC,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 11:11:10,168.40457,-46.60262,0.000,,,1,401622272.41,1,,143,188,00,11,24,221,225,01
266392,,6229,448,2024-12-19 11:13:15,MC,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 11:11:10,168.40457,-46.60262,0.000,,,1,401622272.41,1,,139,188,00,11,00,241,226,01
266392,,6229,448,2024-12-19 11:14:05,MC,N,ZE,2024-12-19 11:11:10,168.40457,-46.60262,0.000,,,1,401622272.41,0,00,,,,,,,,
266382,,6229,299,2024-12-19 11:12:44,MC,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 11:11:03,170.14414,-43.73778,0.675,,,3,401661859.80,1,,151,184,00,31,255,236,229,01
266382,,6229,299,2024-12-19 11:13:33,MC,N,ZE,2024-12-19 11:11:03,170.14414,-43.73778,0.675,,,3,401661859.80,0,00,,,,,,,,
266383,,6229,454,2024-12-19 11:10:51,MC,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 11:10:50,172.61935,-43.77077,0.000,,,1,401663177.21,1,,133,161,00,46,253,250,224,01
266383,,6229,454,2024-12-19 11:13:22,MC,N,ZE,2024-12-19 11:10:50,172.61935,-43.77077,0.000,,,1,401663177.21,0,00,,,,,,,,
266386,,6229,398,2024-12-19 11:12:27,MC,N,ZE,2024-12-19 11:10:22,168.39793,-46.61263,0.000,,,1,401669085.54,0,00,,,,,,,,
266386,,6229,497,2024-12-19 10:37:37,NP,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 10:43:25,168.41729,-46.6051,0.004,,,2,401669088.53,1,,136,190,01,62,03,03,06,129
