Platform ID No.,Platform,Prg No.,Pass dur. (s),Msg Date,Sat.,Alarm,Format name,Loc. date,Longitude,Latitude,Altitude,Heading,Speed,Loc. quality,Frequency,Comp.,FICT ELEM,SENSOR 01,SENSOR 02,SENSOR 03,SENSOR 04,SENSOR 05,SENSOR 06,SENSOR 07,SENSOR 08
266456,,6229,0,2024-12-19 16:19:52,CS,N,ZE,2024-12-19 16:19:52,173.01416,-41.14179,0.000,,,B,401631071.41,0,00,,,,,,,,
266458,,6229,50,2024-12-19 16:19:16,CS,N,ZE,2024-12-19 16:18:51,173.00882,-41.10997,0.020,,,B,401635632.51,0,00,,,,,,,,
266453,,6229,0,2024-12-19 16:18:43,CS,N,ZE,2024-12-19 16:18:43,168.43349,-46.59843,0.009,,,B,401626440.47,0,00,,,,,,,,
266453,,6229,0,2024-12-19 14:30:10,O3,N,ZE,2024-12-19 14:30:10,168.43338,-46.61065,0.000,,,B,401626453.61,0,00,,,,,,,,
266456,,6229,200,2024-12-19 12:54:11,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:54:11,173.02956,-41.127,0.000,,,1,401631066.68,1,,135,181,00,30,02,248,226,01
266456,,6229,200,2024-12-19 12:55:51,O3,N,ZE,2024-12-19 12:54:11,173.02956,-41.127,0.000,,,1,401631066.68,0,00,,,,,,,,
266458,,6229,200,2024-12-19 12:53:55,O3,N,ZE,2024-12-19 12:53:04,173.04015,-41.13,0.000,,,1,401635624.50,0,00,,,,,,,,
266458,,6229,200,2024-12-19 12:54:45,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:53:04,173.04015,-41.13,0.000,,,1,401635624.50,1,,129,183,00,32,255,240,226,01
266453,,6229,100,2024-12-19 12:53:25,O3,N,ZE,2024-12-19 12:52:35,168.43762,-46.60955,0.000,,,B,401626448.91,0,00,,,,,,,,
266462,,6229,0,2024-12-19 12:52:04,O3,N,ZE,2024-12-19 12:52:03,168.4323,-46.60322,0.010,,,B,401666181.36,0,00,,,,,,,,
266454,,6229,249,2024-12-19 12:50:34,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:51:48,168.36835,-46.58811,0.004,,,2,401628407.48,1,,139,186,00,26,00,250,222,01
266454,,6229,249,2024-12-19 12:53:53,O3,N,ZE,2024-12-19 12:51:48,168.36835,-46.58811,0.004,,,2,401628407.48,0,00,,,,,,,,
266458,,6229,100,2024-12-19 11:13:27,MC,N,ZE,2024-12-19 11:12:36,173.03751,-41.13299,0.000,,,A,401635616.23,0,00,,,,,,,,
266455,,6229,150,2024-12-19 11:10:15,MC,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 11:11:38,170.14213,-43.72915,0.682,,,A,401629041.48,1,,143,163,00,09,00,239,227,01
266455,,6229,150,2024-12-19 11:12:45,MC,N,ZE,2024-12-19 11:11:38,170.14213,-43.72915,0.682,,,A,401629041.48,0,00,,,,,,,,
266454,,6229,248,2024-12-19 11:09:20,MC,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 11:11:24,168.37696,-46.58496,0.009,,,1,401628403.05,1,,137,192,02,19,04,250,223,129
266454,,6229,248,2024-12-19 11:10:09,MC,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 11:11:24,168.37696,-46.58496,0.009,,,1,401628403.05,1,,139,192,03,19,04,05,250,129
266454,,6229,248,2024-12-19 11:10:59,MC,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 11:11:24,168.37696,-46.58496,0.009,,,1,401628403.05,1,,139,192,00,19,253,251,223,129
