Platform ID No.,Platform,Prg No.,Pass dur. (s),Msg Date,Sat.,Alarm,Format name,Loc. date,Longitude,Latitude,Altitude,Heading,Speed,Loc. quality,Frequency,Comp.,FICT ELEM,SENSOR 01,SENSOR 02,SENSOR 03,SENSOR 04,SENSOR 05,SENSOR 06,SENSOR 07,SENSOR 08
266435,,6229,50,2024-12-19 16:18:45,CS,N,ZE,2024-12-19 16:18:20,173.05676,-41.18463,0.000,,,B,401630160.25,0,00,,,,,,,,
266436,,6229,100,2024-12-19 16:19:09,CS,N,ZE,2024-12-19 16:18:19,173.02436,-40.9904,0.004,,,A,401632359.66,0,00,,,,,,,,
266438,,6229,0,2024-12-19 16:17:28,CS,N,ZE,2024-12-19 16:17:28,168.42563,-46.60295,0.009,,,B,401636355.45,0,00,,,,,,,,
266442,,6229,0,2024-12-19 16:17:16,CS,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 16:17:15,170.13809,-43.74498,0.680,,,B,401664009.16,1,,139,169,00,19,254,247,225,01
266441,,6229,0,2024-12-19 14:29:59,O3,N,ZE,2024-12-19 14:29:58,168.35882,-46.55844,0.008,,,B,401662302.06,0,00,,,,,,,,
266436,,6229,249,2024-12-19 12:54:23,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:53:58,173.01682,-40.99085,0.010,,,1,401632351.56,1,,148,180,00,25,00,248,225,01
266436,,6229,249,2024-12-19 12:56:03,O3,N,ZE,2024-12-19 12:53:58,173.01682,-40.99085,0.010,,,1,401632351.56,0,00,,,,,,,,
266433,,6229,249,2024-12-19 12:54:11,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:53:46,173.02154,-40.99035,0.000,,,1,401626203.58,1,,146,183,00,59,00,245,226,01
266433,,6229,249,2024-12-19 12:55:51,O3,N,ZE,2024-12-19 12:53:46,173.02154,-40.99035,0.000,,,1,401626203.58,0,00,,,,,,,,
266434,,6229,200,2024-12-19 12:53:43,O3,N,ZE,2024-12-19 12:52:52,170.10379,-43.73754,0.722,,,1,401628192.77,0,00,,,,,,,,
