Platform ID No.,Platform,Prg No.,Pass dur. (s),Msg Date,Sat.,Alarm,Format name,Loc. date,Longitude,Latitude,Altitude,Heading,Speed,Loc. quality,Frequency,Comp.,FICT ELEM,SENSOR 01,SENSOR 02,SENSOR 03,SENSOR 04,SENSOR 05,SENSOR 06,SENSOR 07,SENSOR 08
266378,,6229,150,2024-12-19 16:19:21,CS,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 16:20:27,168.43063,-46.56588,0.000,,,A,401631480.29,1,,136,180,00,33,01,240,226,01
266378,,6229,150,2024-12-19 16:21:51,CS,N,ZE,2024-12-19 16:20:27,168.43063,-46.56588,0.000,,,A,401631480.29,0,00,,,,,,,,
266372,,6229,300,2024-12-19 16:19:29,CS,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 16:19:28,170.13658,-43.73062,0.696,,,3,401619593.39,1,,128,174,00,22,00,244,225,01
266372,,6229,300,2024-12-19 16:21:59,CS,N,ZE,2024-12-19 16:19:28,170.13658,-43.73062,0.696,,,3,401619593.39,0,00,,,,,,,,
266380,,6229,249,2024-12-19 16:17:27,CS,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 16:18:41,173.01284,-40.99281,0.000,,,2,401633655.86,1,,144,175,00,08,255,241,227,01
266380,,6229,249,2024-12-19 16:20:46,CS,N,ZE,2024-12-19 16:18:41,173.01284,-40.99281,0.000,,,2,401633655.86,0,00,,,,,,,,
266379,,6229,50,2024-12-19 16:19:05,CS,N,ZE,2024-12-19 16:18:40,170.13272,-43.72015,1.263,,,B,401631986.39,0,00,,,,,,,,
266374,,6229,399,2024-12-19 16:17:51,CS,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 16:18:09,173.03363,-41.16612,0.000,,,3,401622337.07,1,,136,177,00,52,04,02,227,01
266374,,6229,399,2024-12-19 16:21:10,CS,N,ZE,2024-12-19 16:18:09,173.03363,-41.16612,0.000,,,3,401622337.07,0,00,,,,,,,,
266375,,6229,150,2024-12-19 16:19:20,CS,N,ZE,2024-12-19 16:18:05,170.11552,-43.69958,1.710,,,B,401624193.67,0,00,,,,,,,,
266376,,6229,251,2024-12-19 16:15:25,CS,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 16:17:45,170.13951,-43.72344,0.768,,,1,401627754.71,1,,128,161,01,14,120,29,211,220
266376,,6229,251,2024-12-19 16:19:36,CS,N,ZE,2024-12-19 16:17:45,170.13951,-43.72344,0.768,,,1,401627754.71,0,00,,,,,,,,
266373,,6229,201,2024-12-19 14:32:07,O3,N,ZE,2024-12-19 14:30:26,170.14368,-43.72867,0.681,,,2,401621629.74,0,00,,,,,,,,
266378,,6229,100,2024-12-19 14:30:29,O3,N,ZE,2024-12-19 14:29:38,168.40665,-46.56598,0.000,,,A,401631464.17,0,00,,,,,,,,
266376,,6229,50,2024-12-19 14:27:47,O3,N,ZE,2024-12-19 14:28:11,170.11669,-43.75054,0.692,,,B,401627739.78,0,00,,,,,,,,
266376,,6229,50,2024-12-19 14:28:37,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 14:28:11,170.11669,-43.75054,0.692,,,B,401627739.78,1,,146,166,00,23,254,250,224,01
266374,,6229,349,2024-12-19 12:51:41,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:52:55,173.03074,-41.16586,0.000,,,1,401622333.71,1,,135,183,00,44,254,244,225,01
266374,,6229,349,2024-12-19 12:55:50,O3,N,ZE,2024-12-19 12:52:55,173.03074,-41.16586,0.000,,,1,401622333.71,0,00,,,,,,,,
266380,,6229,648,2024-12-19 12:51:25,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:52:37,172.76141,-41.11973,0.708,,,0,401633677.09,1,,121,182,00,60,05,239,200,01
266380,,6229,648,2024-12-19 12:57:14,O3,N,ZE,2024-12-19 12:52:37,172.76141,-41.11973,0.708,,,0,401633677.09,0,00,,,,,,,,
266372,,6229,349,2024-12-19 12:53:00,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:52:34,170.1456,-43.73697,0.675,,,3,401619572.82,1,,136,182,00,15,252,243,225,01
266372,,6229,349,2024-12-19 12:55:29,O3,N,ZE,2024-12-19 12:52:34,170.1456,-43.73697,0.675,,,3,401619572.82,0,00,,,,,,,,
266373,,6229,300,2024-12-19 12:52:49,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:51:59,170.14217,-43.73046,0.680,,,3,401621640.42,1,,140,173,00,01,01,250,223,01
266373,,6229,300,2024-12-19 12:54:29,O3,N,ZE,2024-12-19 12:51:59,170.14217,-43.73046,0.680,,,3,401621640.42,0,00,,,,,,,,
266379,,6229,199,2024-12-19 12:50:13,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:51:52,170.14207,-43.72716,0.685,,,3,401631987.86,1,,146,180,00,04,02,236,231,01
266379,,6229,199,2024-12-19 12:53:32,O3,N,ZE,2024-12-19 12:51:52,170.14207,-43.72716,0.685,,,3,401631987.86,0,00,,,,,,,,
266375,,6229,200,2024-12-19 12:51:46,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:51:46,170.13703,-43.7255,0.820,,,2,401624203.36,1,,147,178,00,58,254,237,227,01
266375,,6229,200,2024-12-19 12:53:26,O3,N,ZE,2024-12-19 12:51:46,170.13703,-43.7255,0.820,,,2,401624203.36,0,00,,,,,,,,
266376,,6229,449,2024-12-19 12:48:39,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:51:33,170.11729,-43.75204,0.689,,,3,401627739.72,1,,145,171,00,22,00,242,226,01
266376,,6229,449,2024-12-19 12:54:28,O3,N,ZE,2024-12-19 12:51:33,170.11729,-43.75204,0.689,,,3,401627739.72,0,00,,,,,,,,
266376,,6229,449,2024-12-19 12:55:18,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:51:33,170.11729,-43.75204,0.689,,,3,401627739.72,1,,143,170,00,22,01,246,224,01
