Platform ID No.,Platform,Prg No.,Pass dur. (s),Msg Date,Sat.,Alarm,Format name,Loc. date,Longitude,Latitude,Altitude,Heading,Speed,Loc. quality,Frequency,Comp.,FICT ELEM,SENSOR 01,SENSOR 02,SENSOR 03,SENSOR 04,SENSOR 05,SENSOR 06,SENSOR 07,SENSOR 08
266448,,6229,0,2024-12-19 16:19:49,CS,N,ZE,2024-12-19 16:19:49,170.1205,-43.76217,0.678,,,B,401676346.10,0,00,,,,,,,,
266449,,6229,50,2024-12-19 16:19:14,CS,N,ZE,2024-12-19 16:18:48,168.42333,-46.57568,0.000,,,B,401678369.80,0,00,,,,,,,,
266446,,6229,0,2024-12-19 16:18:06,CS,N,ZE,2024-12-19 16:18:06,168.43042,-46.60315,0.010,,,B,401671948.40,0,00,,,,,,,,
266445,,6229,0,2024-12-19 16:16:10,CS,N,ZE,2024-12-19 16:16:09,173.08098,-41.1406,0.000,,,B,401669834.64,0,00,,,,,,,,
266446,,6229,0,2024-12-19 14:43:15,CS,N,ZE,2024-12-19 14:43:15,168.42603,-46.59834,0.009,,,B,401671945.70,0,00,,,,,,,,
266444,,6229,0,2024-12-19 14:29:19,O3,N,ZE,2024-12-19 14:29:18,168.40754,-46.59131,0.010,,,B,401668184.83,0,00,,,,,,,,
266443,,6229,199,2024-12-19 12:55:23,O3,N,ZE,2024-12-19 12:53:43,173.02616,-41.12295,0.000,,,2,401666155.10,0,00,,,,,,,,
266446,,6229,149,2024-12-19 12:54:21,O3,N,ZE,2024-12-19 12:52:58,168.41807,-46.6053,0.002,,,A,401671954.85,0,00,,,,,,,,
266445,,6229,149,2024-12-19 12:54:05,O3,N,ZE,2024-12-19 12:52:50,173.01703,-41.12459,0.000,,,1,401669834.79,0,00,,,,,,,,
266449,,6229,301,2024-12-19 12:53:45,O3,N,ZE,2024-12-19 12:52:21,168.43346,-46.57991,0.002,,,2,401678368.15,0,00,,,,,,,,
266449,,6229,301,2024-12-19 12:54:35,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:52:21,168.43346,-46.57991,0.002,,,2,401678368.15,1,,139,170,00,57,05,06,226,01
266448,,6229,150,2024-12-19 12:50:54,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:52:09,170.1395,-43.7337,0.677,,,3,401676338.94,1,,141,179,00,25,02,244,224,01
266448,,6229,150,2024-12-19 12:53:24,O3,N,ZE,2024-12-19 12:52:09,170.1395,-43.7337,0.677,,,3,401676338.94,0,00,,,,,,,,
266444,,6229,49,2024-12-19 12:52:12,O3,N,ZE,2024-12-19 12:51:47,168.40502,-46.58864,0.009,,,B,401668185.79,0,00,,,,,,,,
266450,,6229,200,2024-12-19 12:51:48,O3,N,ZE,2024-12-19 12:51:14,168.44769,-46.60688,0.000,,,A,401619174.91,0,00,,,,,,,,
266450,,6229,200,2024-12-19 12:52:38,O3,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 12:51:14,168.44769,-46.60688,0.000,,,A,401619174.91,1,,136,164,00,47,01,244,225,01
266449,,6229,200,2024-12-19 11:12:50,MC,N,ZE,2024-12-19 11:11:09,168.43861,-46.58977,0.009,,,2,401678373.56,0,00,,,,,,,,
266445,,6229,199,2024-12-19 11:12:48,MC,N,ZE,2024-12-19 11:10:51,173.04255,-41.11241,0.000,,,A,401669821.03,0,00,,,,,,,,
266448,,6229,149,2024-12-19 11:12:02,MC,N,ZE,2024-12-19 11:10:39,170.14359,-43.72831,0.682,,,A,401676337.45,0,00,,,,,,,,
266444,,6229,199,2024-12-19 11:08:35,MC,N,FORMAT TEMPL. MAN-MIC-ZE-56BITS #1,2024-12-19 11:10:14,168.40571,-46.58933,0.010,,,1,401668187.94,1,,141,191,01,55,10,233,221,129
