"ring","tag_type","tag_type_","treatment_group","measure","smi_wing","weight","date_diff","day_of_year","culmen","tarsus","wing"
"CP9061","GPS","GPS","tagged","second_within",53.7680126957952,55.3,3,279,17.1,30.25,134
"CP9065","control","control","control","first",56.0237412573548,57.62,NA,301,17.2,30.05,134
"CP9066","GPS","GPS","tagged","first",56.1469905036218,62.83,NA,277,18,30.35,138
"CP9068","PTT","PTT2","tagged","first",65.5584744115077,64.58,47,276,16,30.1,132
"CP9068","PTT","PTT2","tagged","second_within",62.9596869464495,62.02,47,323,16,30.1,132
"CP9075","control","control","control","first",60.4667075805787,63.53,1097,279,17.9,32.8,135
"CP9075","control","control","control","second_between",57.2496845737732,60.15,1097,281,17.9,32.8,135
"CP9078","GPS","GPS","tagged","first",59.8736268316929,58.98,NA,279,18.1,30.1,132
"CP9080","control","control","control","first",59.6583536263636,56.25,NA,287,18,29.1,130
"CP9087","control","control","control","first",59.7621147333845,57.6,NA,280,17.9,29.4,131
"CP9092","control","control","control","first",53.9235801827993,55.46,NA,276,17.1,29.4,134
"CP9095","control","control","control","first",60.7571077585227,61.16,NA,302,17.5,31,133
"CP9096","GPS","GPS","tagged","first",58.2794698189143,59.94,NA,276,16.5,29.2,134
"CP9097","GPS","GPS","tagged","first",53.9870180967691,55.13,381,283,18.0333333333333,29.9333333333333,133.666666666667
"CP9097","GPS","GPS","tagged","second_between",52.7629337031366,53.88,381,299,18.0333333333333,29.9333333333333,133.666666666667
"CP9098","GPS","GPS","tagged","first",63.1237529510868,62.52,NA,282,16.4,30.075,132.25
"CP9099","PTT","PTT","tagged","first",61.0694109931773,58.86,NA,299,17,30.825,131
